"id_cliente","nome","valor_compra","loja_cadastro","id_transacao","valor","id_loja"
1,"jose",500.43,"cea",768805383,50.74,"magalu"
2,"jose",500.43,"cea",768805399,30.9,"giraffas"
3,"jose",500.43,"cea",818770008,110,"postoshell"
1,"jose",500.43,"cea",76856563,2000.9,"magalu"
1,"jose",500.43,"cea",767573759,15.7,"subway"
3,"jose",500.43,"cea",818575758,2.99,"seveneleven"
4,"jose",500.43,"cea",764545534,50.74,"extra"
5,"jose",500.43,"cea",76766789,10,"subway"
3,"jose",500.43,"cea",8154567758,1100,"shopee"
1,"maria",150.7,"riachuelo",768805383,50.74,"magalu"
2,"maria",150.7,"riachuelo",768805399,30.9,"giraffas"
3,"maria",150.7,"riachuelo",818770008,110,"postoshell"
1,"maria",150.7,"riachuelo",76856563,2000.9,"magalu"
1,"maria",150.7,"riachuelo",767573759,15.7,"subway"
3,"maria",150.7,"riachuelo",818575758,2.99,"seveneleven"
4,"maria",150.7,"riachuelo",764545534,50.74,"extra"
5,"maria",150.7,"riachuelo",76766789,10,"subway"
3,"maria",150.7,"riachuelo",8154567758,1100,"shopee"
1,"valentina",210.99,"zara",768805383,50.74,"magalu"
2,"valentina",210.99,"zara",768805399,30.9,"giraffas"
3,"valentina",210.99,"zara",818770008,110,"postoshell"
1,"valentina",210.99,"zara",76856563,2000.9,"magalu"
1,"valentina",210.99,"zara",767573759,15.7,"subway"
3,"valentina",210.99,"zara",818575758,2.99,"seveneleven"
4,"valentina",210.99,"zara",764545534,50.74,"extra"
5,"valentina",210.99,"zara",76766789,10,"subway"
3,"valentina",210.99,"zara",8154567758,1100,"shopee"
1,"joana",1300.5,"pontofrio",768805383,50.74,"magalu"
2,"joana",1300.5,"pontofrio",768805399,30.9,"giraffas"
3,"joana",1300.5,"pontofrio",818770008,110,"postoshell"
1,"joana",1300.5,"pontofrio",76856563,2000.9,"magalu"
1,"joana",1300.5,"pontofrio",767573759,15.7,"subway"
3,"joana",1300.5,"pontofrio",818575758,2.99,"seveneleven"
4,"joana",1300.5,"pontofrio",764545534,50.74,"extra"
5,"joana",1300.5,"pontofrio",76766789,10,"subway"
3,"joana",1300.5,"pontofrio",8154567758,1100,"shopee"
1,"fernando",86.55,"pontofrio",768805383,50.74,"magalu"
2,"fernando",86.55,"pontofrio",768805399,30.9,"giraffas"
3,"fernando",86.55,"pontofrio",818770008,110,"postoshell"
1,"fernando",86.55,"pontofrio",76856563,2000.9,"magalu"
1,"fernando",86.55,"pontofrio",767573759,15.7,"subway"
3,"fernando",86.55,"pontofrio",818575758,2.99,"seveneleven"
4,"fernando",86.55,"pontofrio",764545534,50.74,"extra"
5,"fernando",86.55,"pontofrio",76766789,10,"subway"
3,"fernando",86.55,"pontofrio",8154567758,1100,"shopee"
